id,genres,imdbRating,weighting
5bc6859f15307d543319ba86,Drama,4.5,20.5
5bc685a015307d543319ba87,Comedy*Crime*Drama,6.2,38.2
5bc685a115307d543319ba88,Drama*Fantasy*Horror,6.2,28.2
5bc685a115307d543319ba89,Documentary,8.7,12.7
5bc685a215307d543319ba8a,Action*Crime*Thriller,6.3,21.3
5bc685a315307d543319ba8b,Crime*Drama*Mystery,5.8,28.8
5bc685a315307d543319ba8c,Documentary*Biography,7.4,13.4
5bc685a415307d543319ba8d,Documentary*Music,7.4,13.4
5bc685a515307d543319ba8e,Comedy*Romance,6.4,22.4
5bc685a715307d543319ba8f,Comedy*Romance,6.9,22.9
5bc685a715307d543319ba90,Documentary*History*Music,7.9,15.9
5bc685a915307d543319ba91,Documentary,7.7,11.7
5bc685aa15307d543319ba92,Short*Comedy*Drama,7.2,36.2
5bc685ad15307d543319ba93,Biography*Drama*History,7.6,27.6
5bc685af15307d543319ba94,Drama*Horror*Thriller,5.6,30.6
5bc685af15307d543319ba95,Comedy,4.4,15.4
5bc685b015307d543319ba96,Horror*Adult,3.8,8.8
5bc685b115307d543319ba97,Action*Horror*Sci-Fi,2.5,13.5
5bc685b215307d543319ba98,Drama*Sport,6.2,23.2
5bc685b315307d543319ba99,Comedy,4.4,15.4
5bc685b415307d543319ba9a,Drama,7.4,23.4
5bc685b615307d543319ba9b,Documentary,6.7,10.7
5bc685b715307d543319ba9c,Documentary,5.6,9.6
5bc685b815307d543319ba9d,Documentary,5.1,9.1
5bc685bb15307d543319ba9e,Documentary,7.5,11.5
5bc685bc15307d543319ba9f,Comedy*War,5.8,17.8
5bc685bc15307d543319baa0,Sci-Fi,5.3,7.3
5bc685bd15307d543319baa1,Biography*Drama,7.1,25.1
5bc685be15307d543319baa2,Crime*Drama*Horror,5.9,30.9
5bc685be15307d543319baa3,Drama*Romance,7.7,28.7
5bc685bf15307d543319baa4,Comedy*Drama,7,34.0
5bc685c015307d543319baa5,Drama,5.1,21.1
5bc685c115307d543319baa6,Drama*Romance,7.5,28.5
5bc685c215307d543319baa7,Comedy*Drama*Romance,4.4,36.4
5bc685c315307d543319baa8,Action*Drama*Romance,7.3,33.3
5bc685c415307d543319baa9,Comedy*Drama,7.3,34.3
5bc685c415307d543319baaa,Biography*Comedy*Drama,7.1,36.1
5bc685c615307d543319baab,Drama,7.9,23.9
5bc685c715307d543319baac,Documentary*Music,7.2,13.2
5bc685c815307d543319baad,Comedy*Romance,5.7,21.7
5bc685ca15307d543319baae,Horror,3.2,7.2
5bc685ca15307d543319baaf,Drama*Romance,7.5,28.5
5bc685cb15307d543319bab0,Comedy*Drama,6.3,33.3
5bc685cc15307d543319bab1,Documentary*Drama*History,7.1,29.1
5bc685cd15307d543319bab2,Horror*Sci-Fi,6.2,12.2
5bc685ce15307d543319bab3,Horror,6.3,10.3
5bc6861b15307d543319bab4,Drama*Mystery,6.5,24.5
5bc6861c15307d543319bab5,Drama*History*Romance,6.7,29.7
5bc6861d15307d543319bab6,Action*Drama*Romance,6.6,32.6
5bc6861e15307d543319bab7,Comedy*Horror,4.1,19.1
5bc6862015307d543319bab8,Horror,3.2,7.2
5bc6862115307d543319bab9,Adventure*History,7.2,13.2
5bc6862315307d543319baba,Documentary*Music,5.9,11.9
5bc6862415307d543319babb,Crime*Musical,7.1,13.1
5bc6862515307d543319babc,Drama*Fantasy*Horror,7.5,29.5
5bc6862615307d543319babd,Biography*Drama,6.4,24.4
5bc6862715307d543319babe,Drama*Music*Romance,6,29.0
5bc6862815307d543319babf,Action*Crime,6.8,16.8
5bc6862915307d543319bac0,Documentary*History,8.1,14.1
5bc6862a15307d543319bac1,Documentary,7.3,11.3
5bc6862c15307d543319bac2,Documentary*Biography,6.9,12.9
5bc6862d15307d543319bac3,Documentary,6.8,10.8
5bc6862e15307d543319bac4,History,7,9.0
5bc6862f15307d543319bac5,Documentary,4.8,8.8
5bc6863115307d543319bac6,Documentary,7.5,11.5
5bc6863215307d543319bac7,Drama,5.2,21.2
5bc6863315307d543319bac8,Animation*Adventure*Comedy,8.3,25.3
5bc6863315307d543319bac9,Documentary,7.4,11.4
5bc6863315307d543319baca,Adventure*Family*Fantasy,6.9,14.9
5bc6863315307d543319bacb,Comedy*Romance,6.6,22.6
5bc6863315307d543319bacc,Documentary,7.3,11.3
5bc6863315307d543319bacd,Comedy*Drama*Romance,5.8,37.8
5bc6863415307d543319bace,Comedy*Family*Romance,6,24.0
5bc6863415307d543319bacf,Crime*Drama*Thriller,8.2,34.2
5bc6863415307d543319bad0,Comedy*Drama*Romance,7.7,39.7
5bc6863415307d543319bad1,Comedy,4.8,15.8
